,congress_numbers,current,description,enddate,party,phone,role_type,role_type_label,senator_class,senator_class_label,senator_rank,senator_rank_label,startdate,state,title,title_long,website,extra.address,extra.contact_form,extra.fax,extra.office,person.bioguideid,person.birthday,person.cspanid,person.firstname,person.gender,person.gender_label,person.lastname,person.link,person.middlename,person.name,person.namemod,person.nickname,person.osid,person.pvsid,person.sortname,person.twitterid,person.youtubeid,leadership_title,extra.rss_url,caucus,extra.how,age
0,"[115, 116, 117]",True,Senior Senator for Idaho,2023-01-03,Republican,202-224-6142,senator,Senator,class3,Class 3,senior,Senior,2017-01-03,ID,Sen.,Senator,https://www.crapo.senate.gov,239 Dirksen Senate Office Building Washington DC 20510,https://www.crapo.senate.gov/contact,202-228-1375,239 Dirksen Senate Office Building,C000880,1951-05-20,26440.0,Michael,male,Male,Crapo,https://www.govtrack.us/congress/members/michael_crapo/300030,D.,Sen. Michael “Mike” Crapo [R-ID],,Mike,N00006267,26830,"Crapo, Michael “Mike” (Sen.) [R-ID]",MikeCrapo,senatorcrapo,,,,,70.69041095890411
1,"[115, 116, 117]",True,Senior Senator for Iowa,2023-01-03,Republican,202-224-3744,senator,Senator,class3,Class 3,senior,Senior,2017-01-03,IA,Sen.,Senator,https://www.grassley.senate.gov,135 Hart Senate Office Building Washington DC 20510,https://www.grassley.senate.gov/contact,202-224-6020,135 Hart Senate Office Building,G000386,1933-09-17,1167.0,Charles,male,Male,Grassley,https://www.govtrack.us/congress/members/charles_grassley/300048,E.,Sen. Charles “Chuck” Grassley [R-IA],,Chuck,N00001758,53293,"Grassley, Charles “Chuck” (Sen.) [R-IA]",ChuckGrassley,senchuckgrassley,President Pro Tempore of the Senate,http://grassley.senate.gov/customcf/rss_feed.cfm,,,88.37260273972603
2,"[115, 116, 117]",True,Senior Senator for Vermont,2023-01-03,Democrat,202-224-4242,senator,Senator,class3,Class 3,senior,Senior,2017-01-03,VT,Sen.,Senator,https://www.leahy.senate.gov,437 Russell Senate Office Building Washington DC 20510,https://www.leahy.senate.gov/contact/,202-224-3479,437 Russell Senate Office Building,L000174,1940-03-31,1552.0,Patrick,male,Male,Leahy,https://www.govtrack.us/congress/members/patrick_leahy/300065,J.,Sen. Patrick Leahy [D-VT],,,N00009918,53353,"Leahy, Patrick (Sen.) [D-VT]",SenatorLeahy,SenatorPatrickLeahy,President Pro Tempore of the Senate,http://www.leahy.senate.gov/rss/feeds/press/,,,81.83287671232877
3,"[115, 116, 117]",True,Senior Senator for Alaska,2023-01-03,Republican,202-224-6665,senator,Senator,class3,Class 3,senior,Senior,2017-01-03,AK,Sen.,Senator,https://www.murkowski.senate.gov,522 Hart Senate Office Building Washington DC 20510,https://www.murkowski.senate.gov/public/index.cfm/contact,202-224-5301,522 Hart Senate Office Building,M001153,1957-05-22,1004138.0,Lisa,female,Female,Murkowski,https://www.govtrack.us/congress/members/lisa_murkowski/300075,A.,Sen. Lisa Murkowski [R-AK],,,N00026050,15841,"Murkowski, Lisa (Sen.) [R-AK]",LisaMurkowski,senatormurkowski,,http://www.murkowski.senate.gov/public/?a=rss.feed,,,64.67945205479452
4,"[115, 116, 117]",True,Senior Senator for Washington,2023-01-03,Democrat,202-224-2621,senator,Senator,class3,Class 3,senior,Senior,2017-01-03,WA,Sen.,Senator,https://www.murray.senate.gov/public,154 Russell Senate Office Building Washington DC 20510,https://www.murray.senate.gov/public/index.cfm/contactme,202-224-0238,154 Russell Senate Office Building,M001111,1950-10-11,25277.0,Patty,female,Female,Murray,https://www.govtrack.us/congress/members/patty_murray/300076,,Sen. Patty Murray [D-WA],,,N00007876,53358,"Murray, Patty (Sen.) [D-WA]",PattyMurray,SenatorPattyMurray,Assistant Senate Majority Leader,http://www.murray.senate.gov/public/?a=rss.feed,,,71.2958904109589
5,"[115, 116, 117]",True,Senior Senator for New York,2023-01-03,Democrat,202-224-6542,senator,Senator,class3,Class 3,senior,Senior,2017-01-03,NY,Sen.,Senator,https://www.schumer.senate.gov,322 Hart Senate Office Building Washington DC 20510,https://www.schumer.senate.gov/contact/email-chuck,202-228-3027,322 Hart Senate Office Building,S000148,1950-11-23,5929.0,Charles,male,Male,Schumer,https://www.govtrack.us/congress/members/charles_schumer/300087,E.,Sen. Charles “Chuck” Schumer [D-NY],,Chuck,N00001093,26976,"Schumer, Charles “Chuck” (Sen.) [D-NY]",SenSchumer,SenatorSchumer,Senate Majority Leader,,,,71.17808219178082
6,"[115, 116, 117]",True,Senior Senator for Alabama,2023-01-03,Republican,202-224-5744,senator,Senator,class3,Class 3,senior,Senior,2017-01-03,AL,Sen.,Senator,https://www.shelby.senate.gov,304 Russell Senate Office Building Washington DC 20510,https://www.shelby.senate.gov/public/index.cfm/emailsenatorshelby,202-224-3416,304 Russell Senate Office Building,S000320,1934-05-06,1859.0,Richard,male,Male,Shelby,https://www.govtrack.us/congress/members/richard_shelby/300089,C.,Sen. Richard Shelby [R-AL],,,N00009920,53266,"Shelby, Richard (Sen.) [R-AL]",SenShelby,SenatorRichardShelby,,http://www.shelby.senate.gov/public/index.cfm/rss/feed,,,87.73972602739725
7,"[115, 116, 117]",True,Senior Senator for Oregon,2023-01-03,Democrat,202-224-5244,senator,Senator,class3,Class 3,senior,Senior,2017-01-03,OR,Sen.,Senator,https://www.wyden.senate.gov,221 Dirksen Senate Office Building Washington DC 20510,https://www.wyden.senate.gov/contact/,202-228-2717,221 Dirksen Senate Office Building,W000779,1949-05-03,1962.0,Ron,male,Male,Wyden,https://www.govtrack.us/congress/members/ron_wyden/300100,,Sen. Ron Wyden [D-OR],,,N00007724,27036,"Wyden, Ron (Sen.) [D-OR]",RonWyden,senronwyden,,http://www.wyden.senate.gov/rss/feeds/?type=all&amp;,,,72.73698630136987
8,"[115, 116, 117]",True,Senior Senator for Missouri,2023-01-03,Republican,202-224-5721,senator,Senator,class3,Class 3,senior,Senior,2017-01-03,MO,Sen.,Senator,https://www.blunt.senate.gov,260 Russell Senate Office Building Washington DC 20510,https://www.blunt.senate.gov/public/index.cfm/contact-roy,202-224-8149,260 Russell Senate Office Building,B000575,1950-01-10,45465.0,Roy,male,Male,Blunt,https://www.govtrack.us/congress/members/roy_blunt/400034,,Sen. Roy Blunt [R-MO],,,N00005195,418,"Blunt, Roy (Sen.) [R-MO]",RoyBlunt,SenatorBlunt,Senate Republican Policy Committee Chair,http://www.blunt.senate.gov/public/?a=rss.feed,,,72.04657534246576
9,"[115, 116, 117]",True,Senior Senator for Arkansas,2023-01-03,Republican,202-224-4843,senator,Senator,class3,Class 3,senior,Senior,2017-01-03,AR,Sen.,Senator,https://www.boozman.senate.gov/public,141 Hart Senate Office Building Washington DC 20510,https://www.boozman.senate.gov/public/index.cfm/contact,202-228-1371,141 Hart Senate Office Building,B001236,1950-12-10,92069.0,John,male,Male,Boozman,https://www.govtrack.us/congress/members/john_boozman/400040,,Sen. John Boozman [R-AR],,,N00013873,27958,"Boozman, John (Sen.) [R-AR]",JohnBoozman,BoozmanPressOffice,,http://www.boozman.senate.gov/public/index.cfm/rss/feed,,,71.13150684931507
10,"[115, 116, 117]",True,Senior Senator for North Carolina,2023-01-03,Republican,202-224-3154,senator,Senator,class3,Class 3,senior,Senior,2017-01-03,NC,Sen.,Senator,https://www.burr.senate.gov,217 Russell Senate Office Building Washington DC 20510,https://www.burr.senate.gov/contact/email,202-228-2981,217 Russell Senate Office Building,B001135,1955-11-30,31054.0,Richard,male,Male,Burr,https://www.govtrack.us/congress/members/richard_burr/400054,M.,Sen. Richard Burr [R-NC],,,N00002221,21787,"Burr, Richard (Sen.) [R-NC]",SenatorBurr,SenatorRichardBurr,,http://www.burr.senate.gov/public/index.cfm?fuseaction=rss.feed,,,66.15616438356165
11,"[115, 116, 117]",True,Senior Senator for Kansas,2023-01-03,Republican,202-224-6521,senator,Senator,class3,Class 3,senior,Senior,2017-01-03,KS,Sen.,Senator,https://www.moran.senate.gov,521 Dirksen Senate Office Building Washington DC 20510,https://www.moran.senate.gov/public/index.cfm/e-mail-jerry,202-228-6966,521 Dirksen Senate Office Building,M000934,1954-05-29,45469.0,Jerry,male,Male,Moran,https://www.govtrack.us/congress/members/jerry_moran/400284,,Sen. Jerry Moran [R-KS],,,N00005282,542,"Moran, Jerry (Sen.) [R-KS]",JerryMoran,senatorjerrymoran,,http://www.moran.senate.gov/public/index.cfm/rss/feed/,,,67.66301369863014
12,"[115, 116, 117]",True,Junior Senator for Ohio,2023-01-03,Republican,202-224-3353,senator,Senator,class3,Class 3,junior,Junior,2017-01-03,OH,Sen.,Senator,https://www.portman.senate.gov,448 Russell Senate Office Building Washington DC 20510,https://www.portman.senate.gov/public/index.cfm/contact?p=contact-form,,448 Russell Senate Office Building,P000449,1955-12-19,31819.0,Robert,male,Male,Portman,https://www.govtrack.us/congress/members/robert_portman/400325,J.,Sen. Robert “Rob” Portman [R-OH],,Rob,N00003682,27008,"Portman, Robert “Rob” (Sen.) [R-OH]",SenRobPortman,SenRobPortman,,http://www.portman.senate.gov/public/index.cfm/rss/feed,,,66.1041095890411
13,"[115, 116, 117]",True,Junior Senator for Pennsylvania,2023-01-03,Republican,202-224-4254,senator,Senator,class3,Class 3,junior,Junior,2017-01-03,PA,Sen.,Senator,https://www.toomey.senate.gov,455 Dirksen Senate Office Building Washington DC 20510,https://www.toomey.senate.gov/?p=contact,202-228-0284,455 Dirksen Senate Office Building,T000461,1961-11-17,7958.0,Patrick,male,Male,Toomey,https://www.govtrack.us/congress/members/patrick_toomey/400408,J.,Sen. Patrick “Pat” Toomey [R-PA],,Pat,N00001489,24096,"Toomey, Patrick “Pat” (Sen.) [R-PA]",SenToomey,sentoomey,,http://toomey.senate.gov/rss/?p=hot_topic,,,60.18630136986302
14,"[115, 116, 117]",True,Junior Senator for Maryland,2023-01-03,Democrat,202-224-4654,senator,Senator,class3,Class 3,junior,Junior,2017-01-03,MD,Sen.,Senator,https://www.vanhollen.senate.gov,110 Hart Senate Office Building Washington DC 20510,https://www.vanhollen.senate.gov/contact/email,202-225-0375,110 Hart Senate Office Building,V000128,1959-01-10,20756.0,Chris,male,Male,Van Hollen,https://www.govtrack.us/congress/members/chris_van_hollen/400415,,Sen. Chris Van Hollen [D-MD],,,N00013820,6098,"Van Hollen, Chris (Sen.) [D-MD]",ChrisVanHollen,RepChrisVanHollen,,,,,63.04109589041096
15,"[115, 116, 117]",True,Senior Senator for South Dakota,2023-01-03,Republican,202-224-2321,senator,Senator,class3,Class 3,senior,Senior,2017-01-03,SD,Sen.,Senator,https://www.thune.senate.gov,511 Dirksen Senate Office Building Washington DC 20510,https://www.thune.senate.gov/public/index.cfm/contact,202-228-5429,511 Dirksen Senate Office Building,T000250,1961-01-07,45552.0,John,male,Male,Thune,https://www.govtrack.us/congress/members/john_thune/400546,,Sen. John Thune [R-SD],,,N00004572,398,"Thune, John (Sen.) [R-SD]",SenJohnThune,johnthune,Senate Minority Whip,http://www.thune.senate.gov/public/index.cfm/rss/feed,,,61.04657534246575
16,"[115, 116, 117]",True,Senior Senator for Colorado,2023-01-03,Democrat,202-224-5852,senator,Senator,class3,Class 3,senior,Senior,2017-01-03,CO,Sen.,Senator,https://www.bennet.senate.gov/public,261 Russell Senate Office Building Washington DC 20510,https://www.bennet.senate.gov/public/index.cfm/contact,202-228-5097,261 Russell Senate Office Building,B001267,1964-11-28,1031622.0,Michael,male,Male,Bennet,https://www.govtrack.us/congress/members/michael_bennet/412330,F.,Sen. Michael Bennet [D-CO],,,N00030608,110942,"Bennet, Michael (Sen.) [D-CO]",SenatorBennet,SenatorBennet,,http://www.bennet.senate.gov/rss/feeds/?type=news,,,57.153424657534245
17,"[115, 116, 117]",True,Senior Senator for Indiana,2023-01-03,Republican,202-224-5623,senator,Senator,class3,Class 3,senior,Senior,2017-01-03,IN,Sen.,Senator,https://www.young.senate.gov,185 Dirksen Senate Office Building Washington DC 20510,https://www.young.senate.gov/contact,202-226-6866,185 Dirksen Senate Office Building,Y000064,1972-08-24,1033743.0,Todd,male,Male,Young,https://www.govtrack.us/congress/members/todd_young/412428,C.,Sen. Todd Young [R-IN],,,N00030670,120345,"Young, Todd (Sen.) [R-IN]",SenToddYoung,RepToddYoung,,,,,49.41095890410959
18,"[115, 116, 117]",True,Junior Senator for Oklahoma,2023-01-03,Republican,202-224-5754,senator,Senator,class3,Class 3,junior,Junior,2017-01-03,OK,Sen.,Senator,https://www.lankford.senate.gov,316 Hart Senate Office Building Washington DC 20510,https://www.lankford.senate.gov/contact/email,,316 Hart Senate Office Building,L000575,1968-03-04,1033847.0,James,male,Male,Lankford,https://www.govtrack.us/congress/members/james_lankford/412464,,Sen. James Lankford [R-OK],,,N00031129,124938,"Lankford, James (Sen.) [R-OK]",SenatorLankford,SenatorLankford,,,,,53.88767123287671
19,"[115, 116, 117]",True,Junior Senator for South Carolina,2023-01-03,Republican,202-224-6121,senator,Senator,class3,Class 3,junior,Junior,2017-01-03,SC,Sen.,Senator,https://www.scott.senate.gov,104 Hart Senate Office Building Washington DC 20510,https://www.scott.senate.gov/contact/email-me,202-225-3407,104 Hart Senate Office Building,S001184,1965-09-19,623506.0,Tim,male,Male,Scott,https://www.govtrack.us/congress/members/tim_scott/412471,,Sen. Tim Scott [R-SC],,,N00031782,11940,"Scott, Tim (Sen.) [R-SC]",SenatorTimScott,SenatorTimScott,,http://www.scott.senate.gov/rss.xml,,,56.345205479452055
20,"[115, 116, 117]",True,Senior Senator for Connecticut,2023-01-03,Democrat,202-224-2823,senator,Senator,class3,Class 3,senior,Senior,2017-01-03,CT,Sen.,Senator,https://www.blumenthal.senate.gov,706 Hart Senate Office Building Washington DC 20510,https://www.blumenthal.senate.gov/contact/,202-224-9673,706 Hart Senate Office Building,B001277,1946-02-13,21799.0,Richard,male,Male,Blumenthal,https://www.govtrack.us/congress/members/richard_blumenthal/412490,,Sen. Richard Blumenthal [D-CT],,,N00031685,1568,"Blumenthal, Richard (Sen.) [D-CT]",SenBlumenthal,SenatorBlumenthal,,http://www.blumenthal.senate.gov/rss/feeds/?type=all,,,75.95616438356164
21,"[115, 116, 117]",True,Senior Senator for Florida,2023-01-03,Republican,202-224-3041,senator,Senator,class3,Class 3,senior,Senior,2017-01-03,FL,Sen.,Senator,https://www.rubio.senate.gov,284 Russell Senate Office Building Washington DC 20510,https://www.rubio.senate.gov/public/index.cfm/contact,202-228-0285,284 Russell Senate Office Building,R000595,1971-05-28,87599.0,Marco,male,Male,Rubio,https://www.govtrack.us/congress/members/marco_rubio/412491,,Sen. Marco Rubio [R-FL],,,N00030612,1601,"Rubio, Marco (Sen.) [R-FL]",SenRubioPress,SenatorMarcoRubio,,http://www.rubio.senate.gov/public/?a=rss.feed,,,50.654794520547945
22,"[115, 116, 117]",True,Junior Senator for Kentucky,2023-01-03,Republican,202-224-4343,senator,Senator,class3,Class 3,junior,Junior,2017-01-03,KY,Sen.,Senator,https://www.paul.senate.gov,167 Russell Senate Office Building Washington DC 20510,https://www.paul.senate.gov/connect/email-rand,202-228-1373,167 Russell Senate Office Building,P000603,1963-01-07,9265241.0,Rand,male,Male,Paul,https://www.govtrack.us/congress/members/rand_paul/412492,,Sen. Rand Paul [R-KY],,,N00030836,117285,"Paul, Rand (Sen.) [R-KY]",RandPaul,SenatorRandPaul,,http://paul.senate.gov/rss/?p=news,,,59.04657534246575
23,"[115, 116, 117]",True,Senior Senator for North Dakota,2023-01-03,Republican,202-224-2551,senator,Senator,class3,Class 3,senior,Senior,2017-01-03,ND,Sen.,Senator,https://www.hoeven.senate.gov,338 Russell Senate Office Building Washington DC 20510,https://www.hoeven.senate.gov/public/index.cfm/email-the-senator,202-224-7999,338 Russell Senate Office Building,H001061,1957-03-13,85233.0,John,male,Male,Hoeven,https://www.govtrack.us/congress/members/john_hoeven/412494,,Sen. John Hoeven [R-ND],,,N00031688,41788,"Hoeven, John (Sen.) [R-ND]",SenJohnHoeven,senatorjohnhoevennd,,http://www.hoeven.senate.gov/public/index.cfm/rss/feed,,,64.87123287671233
24,"[115, 116, 117]",True,Senior Senator for Utah,2023-01-03,Republican,202-224-5444,senator,Senator,class3,Class 3,senior,Senior,2017-01-03,UT,Sen.,Senator,https://www.lee.senate.gov,361A Russell Senate Office Building Washington DC 20510,https://www.lee.senate.gov/public/index.cfm/contact,,361a Russell Senate Office Building,L000577,1971-06-04,9267977.0,Mike,male,Male,Lee,https://www.govtrack.us/congress/members/mike_lee/412495,,Sen. Mike Lee [R-UT],,,N00031696,66395,"Lee, Mike (Sen.) [R-UT]",SenMikeLee,senatormikelee,,http://www.lee.senate.gov/public/index.cfm/rss/feed,,,50.635616438356166
25,"[115, 116, 117]",True,Senior Senator for Wisconsin,2023-01-03,Republican,202-224-5323,senator,Senator,class3,Class 3,senior,Senior,2017-01-03,WI,Sen.,Senator,https://www.ronjohnson.senate.gov,328 Hart Senate Office Building Washington DC 20510,https://www.ronjohnson.senate.gov/public/index.cfm/email-the-senator,920-230-7262,328 Hart Senate Office Building,J000293,1955-04-08,62835.0,Ron,male,Male,Johnson,https://www.govtrack.us/congress/members/ron_johnson/412496,,Sen. Ron Johnson [R-WI],,,N00032546,126217,"Johnson, Ron (Sen.) [R-WI]",SenRonJohnson,SenatorRonJohnson,,http://www.ronjohnson.senate.gov/public/index.cfm/rss/feed,,,66.8027397260274
26,"[115, 116, 117]",True,Senior Senator for Hawaii,2023-01-03,Democrat,202-224-3934,senator,Senator,class3,Class 3,senior,Senior,2017-01-03,HI,Sen.,Senator,https://www.schatz.senate.gov,722 Hart Senate Office Building Washington DC 20510,https://www.schatz.senate.gov/contact,202-228-1153,722 Hart Senate Office Building,S001194,1972-10-20,87784.0,Brian,male,Male,Schatz,https://www.govtrack.us/congress/members/brian_schatz/412507,Emanuel,Sen. Brian Schatz [D-HI],,,N00028138,17852,"Schatz, Brian (Sen.) [D-HI]",SenBrianSchatz,senbrianschatz,,,,,49.25479452054795
27,"[115, 116, 117]",True,Junior Senator for Illinois,2023-01-03,Democrat,202-224-2854,senator,Senator,class3,Class 3,junior,Junior,2017-01-03,IL,Sen.,Senator,https://www.duckworth.senate.gov,524 Hart Senate Office Building Washington DC 20510,https://www.duckworth.senate.gov/content/contact-senator,,524 Hart Senate Office Building,D000622,1968-03-12,94484.0,Tammy,female,Female,Duckworth,https://www.govtrack.us/congress/members/tammy_duckworth/412533,,Sen. Tammy Duckworth [D-IL],,,N00027860,57442,"Duckworth, Tammy (Sen.) [D-IL]",SenDuckworth,repduckworth,,,,,53.865753424657534
28,"[115, 116, 117]",True,Junior Senator for Louisiana,2023-01-03,Republican,202-224-4623,senator,Senator,class3,Class 3,junior,Junior,2017-01-03,LA,Sen.,Senator,https://www.kennedy.senate.gov/public,416 Russell Senate Office Building Washington DC 20510,https://www.kennedy.senate.gov/public/email-me,,416 Russell Senate Office Building,K000393,1951-11-21,1011723.0,John,male,Male,Kennedy,https://www.govtrack.us/congress/members/john_kennedy/412679,Neely,Sen. John Kennedy [R-LA],,,N00026823,35496,"Kennedy, John (Sen.) [R-LA]",SenJohnKennedy,,,,,,70.18356164383562
29,"[115, 116, 117]",True,Junior Senator for New Hampshire,2023-01-03,Democrat,202-224-3324,senator,Senator,class3,Class 3,junior,Junior,2017-01-03,NH,Sen.,Senator,https://www.hassan.senate.gov,324 Hart Senate Office Building Washington DC 20510,https://www.hassan.senate.gov/content/contact-senator,,324 Hart Senate Office Building,H001076,1958-02-27,67481.0,Margaret,female,Female,Hassan,https://www.govtrack.us/congress/members/margaret_hassan/412680,Wood,Sen. Margaret “Maggie” Hassan [D-NH],,Maggie,N00038397,42552,"Hassan, Margaret “Maggie” (Sen.) [D-NH]",Senatorhassan,,,,,,63.90958904109589
30,"[115, 116, 117]",True,Senior Senator for Nevada,2023-01-03,Democrat,202-224-3542,senator,Senator,class3,Class 3,senior,Senior,2017-01-03,NV,Sen.,Senator,https://www.cortezmasto.senate.gov,313 Hart Senate Office Building Washington DC 20510,https://www.cortezmasto.senate.gov/contact,,313 Hart Senate Office Building,C001113,1964-03-29,105698.0,Catherine,female,Female,Cortez Masto,https://www.govtrack.us/congress/members/catherine_cortez_masto/412681,,Sen. Catherine Cortez Masto [D-NV],,,N00037161,69579,"Cortez Masto, Catherine (Sen.) [D-NV]",sencortezmasto,,,,,,57.821917808219176
